date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:07	46/46	---M--	200	added ('OK')	text/plain	date:Tue,%2019%20Feb%202019%2020:06:08%20GMT	http://motions.graphics/robots.txt		(from )
17:06:08	127217/127217	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202019%2015:50:40%20GMT	http://motions.graphics/	C:/Users/Nico/Documents/GitHub/website/motions.graphics/index.html	(from )
17:06:09	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Tue,%2019%20Feb%202019%2020:06:10%20GMT	http://motions.graphics/xmlrpc.php	C:/Users/Nico/Documents/GitHub/website/motions.graphics/xmlrpc.php	(from http://motions.graphics/)
17:06:09	665/665	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202017%2023:54:49%20GMT	http://motions.graphics/wp-content/uploads/2017/07/favicon.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2017/07/favicon.png	(from http://motions.graphics/)
17:06:12	52971/52971	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2019%20Feb%202019%2020:06:11%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Nico/Documents/GitHub/website/connect.facebook.net/en_US/fbevents.js	(from http://motions.graphics/)
17:06:14	1162552/1162552	---MCZ	200	added ('OK')	text/css	date:Mon,%2018%20Feb%202019%2010:28:39%20GMT	http://motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/min/1/8dddbcd9822d62aa587c1451be17f53d.css	(from http://motions.graphics/)
17:06:15	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Nico/Documents/GitHub/website/www.google-analytics.com/analytics.js	(from http://motions.graphics/)
17:06:15	662/662	---M--	200	added ('OK')	image/png	date:Sun,%2017%20Feb%202019%2023:26:52%20GMT	http://motions.graphics/wp-content/plugins/wp-rocket/inc/front/img/youtube.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/plugins/wp-rocket/inc/front/img/youtube.png	(from http://motions.graphics/)
17:06:16	1998/1998	---M-Z	200	added ('OK')	application/rss+xml	date:Sun,%2006%20Jan%202019%2019:57:40%20GMT	http://motions.graphics/feed/	C:/Users/Nico/Documents/GitHub/website/motions.graphics/feed/index.html	(from http://motions.graphics/)
17:06:17	740/740	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2019%20Feb%202019%2020:06:17%20GMT	http://motions.graphics/comments/feed/	C:/Users/Nico/Documents/GitHub/website/motions.graphics/comments/feed/index.html	(from http://motions.graphics/)
17:06:18	10056/10056	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/jquery-migrate.min-1.4.1.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/jquery-migrate.min-1.4.1.js	(from http://motions.graphics/)
17:06:19	726/726	---M-Z	200	added ('OK')	application/rss+xml	date:Tue,%2019%20Feb%202019%2020:06:19%20GMT	http://motions.graphics/home/feed/	C:/Users/Nico/Documents/GitHub/website/motions.graphics/home/feed/index.html	(from http://motions.graphics/)
17:06:20	97184/97184	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/jquery-1.12.4.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-includes/js/jquery/jquery-1.12.4.js	(from http://motions.graphics/)
17:06:21	70807/70807	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2025%20Jul%202017%2023:55:53%20GMT	http://motions.graphics/wp-content/themes/lotek/lotek/fonts/fontawesome-webfont.eot?v=4.5.0	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/themes/lotek/lotek/fonts/fontawesome-webfont3295.eot	(from http://motions.graphics/)
17:06:21	55064/55064	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Oct%202017%2018:00:10%20GMT	http://motions.graphics/wp-content/uploads/2014/11/octubre-nov.jpg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2014/11/octubre-nov.jpg	(from http://motions.graphics/)
17:06:22	830/830	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Feb%202019%2020:06:22%20GMT	http://motions.graphics/xmlrpc.php?rsd	C:/Users/Nico/Documents/GitHub/website/motions.graphics/xmlrpc0db0.php	(from http://motions.graphics/)
17:06:22	110563/110563	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Feb%202019%2023:51:39%20GMT	http://motions.graphics/wp-content/cache/busting/1/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min-5.4.6.6.js	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/cache/busting/1/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min-5.4.6.6.js	(from http://motions.graphics/)
17:06:23	2174/2174	---M-Z	200	added ('OK')	application/json	date:Tue,%2019%20Feb%202019%2020:06:23%20GMT	http://motions.graphics/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmotions.graphics%2F	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-json/oembed/1.0/embed3952.json	(from http://motions.graphics/)
17:06:23	2273/2273	---M-Z	200	added ('OK')	text/xml	date:Tue,%2019%20Feb%202019%2020:06:24%20GMT	http://motions.graphics/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fmotions.graphics%2F&format=xml	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-json/oembed/1.0/embed1e2e	(from http://motions.graphics/)
17:06:24	158/158	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Feb%202019%2020:06:25%20GMT	http://code.tidio.co/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.js	C:/Users/Nico/Documents/GitHub/website/code.tidio.co/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.10.delayed	(from http://motions.graphics/)
